region,category,n_category,k_pos,expected_pos,fold_enrichment_pos,p_pos_enrich,p_pos_deplete,k_neg,expected_neg,fold_enrichment_neg,p_neg_enrich,p_neg_deplete,q_pos_enrich,q_pos_deplete,q_neg_enrich,q_neg_deplete
lcb,Axon guidance,20012,31,70.88,0.437,0.99999996317588,3.682412006176148e-08,604,552.39,1.093,0.01082657666392568,0.9891734233360747,1.0,2.3146589753107215e-07,0.03938902535407967,1.0
lcb,Cholinergic signaling,0,0,0.0,,0.0,1.0,0,0.0,,0.0,1.0,0.0,1.0,0.0,1.0
lcb,ECM/Adhesion,24202,13,85.72,0.152,1.0,1.1348799247055714e-23,457,668.04,0.684,1.0,6.817914888925399e-20,1.0,1.1782348881212898e-22,1.0,6.701865273794753e-19
lcb,GABA signaling,42259,328,149.67,2.191,1.5860641074770552e-44,1.0,437,1166.47,0.375,1.0,1.4804898237214765e-150,2.2898800551699984e-43,1.0,1.0,4.023448815054836e-149
lcb,Gap junction,73,0,0.26,0.0,0.22820259653439676,0.7717974034656032,0,2.02,0.0,0.8704354123837251,0.12956458761627487,0.5448558118805752,1.0,1.0,0.3519334026068622
lcb,Glutamate signaling,66347,215,234.98,0.915,0.9247503262447551,0.07524967375524501,1867,1831.37,1.019,0.16807255388843378,0.831927446111567,1.0,0.2207323763487187,0.42782104626146783,1.0
lcb,Glycine signaling,0,0,0.0,,0.0,1.0,0,0.0,,0.0,1.0,0.0,1.0,0.0,1.0
lcb,Growth Factor/Neurotrophic,41800,116,148.04,0.784,0.9979254488033966,0.0020745511966034492,1250,1153.8,1.083,0.001087183921613283,0.9989128160783873,1.0,0.008673689165889535,0.004783609255098445,1.0
lcb,Hormones/Endocrine,254,0,0.9,0.0,0.5940595996478192,0.4059404003521808,4,7.01,0.571,0.8319400062205484,0.16805999377945158,1.0,0.8505417912140931,1.0,0.42782104626146783
lcb,Immune/Inflammatory,6779,15,24.01,0.625,0.967341959675822,0.032658040324177955,23,187.12,0.123,1.0,1.16266474786676e-53,1.0,0.10700719595581713,1.0,1.852245219015321e-52
lcb,Lipid signaling,890,2,3.15,0.634,0.6107895693256624,0.38921043067433764,41,24.57,1.669,0.0007012211131978311,0.9992987788868022,1.0,0.8248404539979082,0.0031606258955843704,1.0
lcb,Metabolic/Other,12088,21,42.81,0.491,0.9998646988586988,0.0001353011413012346,105,333.66,0.315,1.0,6.970239231942306e-51,1.0,0.0006378482375629631,1.0,1.0734168417191152e-49
lcb,Monoamine signaling,0,0,0.0,,0.0,1.0,0,0.0,,0.0,1.0,0.0,1.0,0.0,1.0
lcb,Neuropeptide signaling,20,0,0.07,0.0,0.06850281769158122,0.9314971823084188,0,0.55,0.0,0.42869769417568565,0.5713023058243143,0.20287372931737513,1.0,0.8901498189176035,1.0
lcb,Notch/Hedgehog,4581,5,16.22,0.308,0.998903176256484,0.001096823743516013,246,126.45,1.945,1.428270623800193e-22,1.0,1.0,0.0048031523175772325,1.4502440180125037e-21,1.0
lcb,Purinergic signaling,451,0,1.6,0.0,0.7983608606740388,0.20163913932596123,0,12.45,0.0,0.9999967372640199,3.2627359800569284e-06,1.0,0.4955174594074154,1.0,1.7630222488728666e-05
lcb,Steroid/Retinoid signaling,3163,6,11.2,0.536,0.9306367361833776,0.06936326381662233,61,87.31,0.699,0.9984127074272153,0.0015872925727847369,1.0,0.204765673375588,1.0,0.006758794180889847
lcb,Synapse organization,600,11,2.13,5.176,2.2474660881963476e-06,0.9999977525339118,0,16.56,0.0,0.9999999499653335,5.0034666546141517e-08,1.2361063485079912e-05,1.0,1.0,3.123785938421268e-07
lcb,Synaptic adhesion,81728,233,289.46,0.805,0.999952267400096,4.773259990417634e-05,2877,2255.93,1.275,4.434498571898569e-51,1.0,1.0,0.00023213117006031018,6.944875729549623e-50,1.0
lcb,Teneurin/Latrophilin,11139,130,39.45,3.295,2.0286037062276453e-32,1.0,838,307.47,2.725,1.2851479625246198e-150,1.0,2.4663550323083478e-31,1.0,3.5984142950689357e-149,1.0
lcb,Wnt signaling,3798,8,13.45,0.595,0.9207704509104079,0.0792295490895921,28,104.84,0.267,1.0,1.5705897242997518e-19,1.0,0.23094038914442616,1.0,1.5276051634241797e-18
mdtn,Axon guidance,35268,5,4.62,1.083,0.3145035802967404,0.6854964197032596,2,2.6,0.769,0.4866505779146026,0.5133494220853974,0.7053429810538547,1.0,0.9816729048617625,1.0
mdtn,Cholinergic signaling,22,0,0.0,0.0,0.0028749945702461954,0.9971250054297538,0,0.0,0.0,0.0016206869831161038,0.9983793130168839,0.011859352602265555,1.0,0.00686933381834532,1.0
mdtn,ECM/Adhesion,73690,0,9.64,0.0,0.9999684711234565,3.15288765434344e-05,4,5.43,0.736,0.6486077242559799,0.3513922757440201,1.0,0.00015578974292049938,1.0,0.7632773234218885
mdtn,GABA signaling,21358,0,2.79,0.0,0.9422461217859145,0.05775387821408553,0,1.57,0.0,0.7994052419467556,0.20059475805324442,1.0,0.1749658474420165,1.0,0.4955174594074154
mdtn,Gap junction,1387,0,0.18,0.0,0.16618617260773746,0.8338138273922625,0,0.1,0.0,0.09732138187904343,0.9026786181209565,0.4265445096931928,1.0,0.276692174942265,1.0
mdtn,Glutamate signaling,128134,44,16.77,2.624,1.2001663135612253e-12,0.9999999999987998,11,9.45,1.164,0.21824242389620532,0.7817575761037947,9.015883526264815e-12,1.0,0.525145832500244,1.0
mdtn,Glycine signaling,60,0,0.01,0.0,0.007821712167497776,0.9921782878325022,0,0.0,0.0,0.004414025401225966,0.9955859745987741,0.02937911399499165,1.0,0.017282031655647425,1.0
mdtn,Growth Factor/Neurotrophic,83265,4,10.9,0.367,0.9891722809091599,0.010827719090840083,0,6.14,0.0,0.9987244348032491,0.0012755651967509126,1.0,0.03938902535407967,1.0,0.0055075805691488
mdtn,Hormones/Endocrine,2085,0,0.27,0.0,0.23919913136669474,0.7608008686333052,0,0.15,0.0,0.1427404397558288,0.8572595602441712,0.566717942007246,1.0,0.379000477972373,1.0
mdtn,Immune/Inflammatory,9189,0,1.2,0.0,0.7026479072412246,0.29735209275877544,0,0.68,0.0,0.4950366968388645,0.5049633031611356,1.0,0.6784032931089099,0.9922210583060971,1.0
mdtn,Lipid signaling,2773,0,0.36,0.0,0.3049872889665247,0.6950127110334753,0,0.2,0.0,0.1853250187238148,0.8146749812761852,0.6890177383987013,1.0,0.4628116683805537,1.0
mdtn,Metabolic/Other,20550,0,2.69,0.0,0.9355313413410236,0.06446865865897648,0,1.52,0.0,0.7865824955271505,0.21341750447284952,1.0,0.19403596286936245,1.0,0.5203107496910632
mdtn,Monoamine signaling,0,0,0.0,,0.0,1.0,0,0.0,,0.0,1.0,0.0,1.0,0.0,1.0
mdtn,Neuropeptide signaling,1353,0,0.18,0.0,0.1624584322456068,0.8375415677543931,0,0.1,0.0,0.09505007542617847,0.9049499245738215,0.42048064816509995,1.0,0.27106873362280526,1.0
mdtn,Notch/Hedgehog,15375,0,2.01,0.0,0.8701198157046104,0.1298801842953896,3,1.13,2.647,0.026195011298888557,0.9738049887011114,1.0,0.3519334026068622,0.0883364614604855,1.0
mdtn,Purinergic signaling,1868,0,0.24,0.0,0.21720280173651493,0.782797198263485,0,0.14,0.0,0.12886431119176558,0.8711356888082344,0.525145832500244,1.0,0.3519334026068622,1.0
mdtn,Steroid/Retinoid signaling,6975,0,0.91,0.0,0.6009691890981371,0.3990308109018629,0,0.51,0.0,0.4040341776649839,0.5959658223350162,1.0,0.8437173209915819,0.8484717730964663,1.0
mdtn,Synapse organization,1717,0,0.22,0.0,0.2015278422143101,0.7984721577856899,0,0.13,0.0,0.1190796119723782,0.8809203880276218,0.4955174594074154,1.0,0.33141434175445017,1.0
mdtn,Synaptic adhesion,107299,0,14.04,0.0,0.9999998396420428,1.6035795727188205e-07,4,7.91,0.506,0.9191826110834094,0.08081738891659057,1.0,9.684362909752878e-07,1.0,0.23336021049665528
mdtn,Teneurin/Latrophilin,22779,17,2.98,5.703,5.950278931165525e-10,0.9999999994049721,16,1.68,9.528,1.3636045702349124e-13,0.9999999999998637,3.984099806084743e-09,1.0,1.0768979682880849e-12,1.0
mdtn,Wnt signaling,7423,1,0.97,1.029,0.25362821008787234,0.7463717899121276,0,0.55,0.0,0.423652957528389,0.5763470424716111,0.5963167076875167,1.0,0.8847658023290165,1.0
