ligand,receptor,lr_pair,classification,broad_category,source
CDH1,ITGA2_ITGB1,CDH1|ITGA2_ITGB1,Adhesion by Cadherin,ECM/Adhesion,cpdb_uniprot
COL11A2,ITGA2_ITGB1,COL11A2|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL12A1,ITGA1_ITGB1,COL12A1|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL12A1,ITGA10_ITGB1,COL12A1|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL12A1,ITGA11_ITGB1,COL12A1|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL12A1,ITGA2_ITGB1,COL12A1|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL13A1,ITGA1_ITGB1,COL13A1|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL13A1,ITGA10_ITGB1,COL13A1|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL13A1,ITGA11_ITGB1,COL13A1|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL13A1,ITGA2_ITGB1,COL13A1|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL14A1,ITGA1_ITGB1,COL14A1|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL14A1,ITGA10_ITGB1,COL14A1|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL14A1,ITGA11_ITGB1,COL14A1|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL14A1,ITGA2_ITGB1,COL14A1|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL15A1,ITGA1_ITGB1,COL15A1|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL15A1,ITGA10_ITGB1,COL15A1|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL15A1,ITGA11_ITGB1,COL15A1|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL15A1,ITGA2_ITGB1,COL15A1|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL16A1,ITGA1_ITGB1,COL16A1|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL16A1,ITGA10_ITGB1,COL16A1|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL16A1,ITGA11_ITGB1,COL16A1|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL16A1,ITGA2_ITGB1,COL16A1|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL17A1,ITGA1_ITGB1,COL17A1|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL17A1,ITGA10_ITGB1,COL17A1|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL17A1,ITGA11_ITGB1,COL17A1|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL17A1,ITGA2_ITGB1,COL17A1|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL18A1,ITGA1_ITGB1,COL18A1|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL18A1,ITGA10_ITGB1,COL18A1|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL18A1,ITGA11_ITGB1,COL18A1|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL18A1,ITGA2_ITGB1,COL18A1|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL19A1,ITGA1_ITGB1,COL19A1|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL19A1,ITGA10_ITGB1,COL19A1|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL19A1,ITGA11_ITGB1,COL19A1|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL19A1,ITGA2_ITGB1,COL19A1|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL1A1,ITGA1_ITGB1,COL1A1|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL1A1,ITGA10_ITGB1,COL1A1|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL1A1,ITGA11_ITGB1,COL1A1|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL1A1,ITGA2_ITGB1,COL1A1|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL1A2,ITGA1_ITGB1,COL1A2|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL1A2,ITGA10_ITGB1,COL1A2|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL1A2,ITGA11_ITGB1,COL1A2|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL1A2,ITGA2_ITGB1,COL1A2|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL20A1,ITGA1_ITGB1,COL20A1|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL20A1,ITGA10_ITGB1,COL20A1|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL20A1,ITGA11_ITGB1,COL20A1|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL20A1,ITGA2_ITGB1,COL20A1|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL21A1,ITGA1_ITGB1,COL21A1|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL21A1,ITGA10_ITGB1,COL21A1|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL21A1,ITGA11_ITGB1,COL21A1|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL21A1,ITGA2_ITGB1,COL21A1|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL22A1,ITGA1_ITGB1,COL22A1|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL22A1,ITGA10_ITGB1,COL22A1|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL22A1,ITGA11_ITGB1,COL22A1|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL22A1,ITGA2_ITGB1,COL22A1|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL24A1,ITGA1_ITGB1,COL24A1|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL24A1,ITGA10_ITGB1,COL24A1|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL24A1,ITGA11_ITGB1,COL24A1|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL24A1,ITGA2_ITGB1,COL24A1|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL26A1,ITGA1_ITGB1,COL26A1|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL26A1,ITGA10_ITGB1,COL26A1|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL26A1,ITGA11_ITGB1,COL26A1|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL26A1,ITGA2_ITGB1,COL26A1|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
